ticker,comp_name,full_url,mt_name,industry,country,link,url
SAND,Sandstorm Gold,https://www.macrotrends.net/stocks/charts/SAND/sandstorm-gold/,sandstorm-gold,Gold Miners,Canada,<a href='https://www.macrotrends.net/stocks/charts/SAND/sandstorm-gold/stock-price-history'>Sandstorm Gold (SAND)</a>,https://www.macrotrends.net/stocks/charts/SAND/sandstorm-gold/
DRD,DRDGOLD,https://www.macrotrends.net/stocks/charts/DRD/drdgold/,drdgold,Gold Miners,South Africa,<a href='https://www.macrotrends.net/stocks/charts/DRD/drdgold/stock-price-history'>DRDGOLD (DRD)</a>,https://www.macrotrends.net/stocks/charts/DRD/drdgold/
CVS,CVS Health,https://www.macrotrends.net/stocks/charts/CVS/cvs-health/,cvs-health,Retail - Drug Stores,United States,<a href='https://www.macrotrends.net/stocks/charts/CVS/cvs-health/stock-price-history'>CVS Health (CVS)</a>,https://www.macrotrends.net/stocks/charts/CVS/cvs-health/
HLF,Herbalife,https://www.macrotrends.net/stocks/charts/HLF/herbalife/,herbalife,Retail - Drug Stores,United States,<a href='https://www.macrotrends.net/stocks/charts/HLF/herbalife/stock-price-history'>Herbalife (HLF)</a>,https://www.macrotrends.net/stocks/charts/HLF/herbalife/
RAD,Rite Aid,https://www.macrotrends.net/stocks/charts/RAD/rite-aid/,rite-aid,Retail - Drug Stores,United States,<a href='https://www.macrotrends.net/stocks/charts/RAD/rite-aid/stock-price-history'>Rite Aid (RAD)</a>,https://www.macrotrends.net/stocks/charts/RAD/rite-aid/
GNC,GNC Holdings,https://www.macrotrends.net/stocks/charts/GNC/gnc-holdings/,gnc-holdings,Retail - Drug Stores,United States,<a href='https://www.macrotrends.net/stocks/charts/GNC/gnc-holdings/stock-price-history'>GNC Holdings (GNC)</a>,https://www.macrotrends.net/stocks/charts/GNC/gnc-holdings/
MPC,Marathon Petroleum,https://www.macrotrends.net/stocks/charts/MPC/marathon-petroleum/,marathon-petroleum,Oil Refining & Marketing,United States,<a href='https://www.macrotrends.net/stocks/charts/MPC/marathon-petroleum/stock-price-history'>Marathon Petroleum (MPC)</a>,https://www.macrotrends.net/stocks/charts/MPC/marathon-petroleum/
PSX,Phillips 66,https://www.macrotrends.net/stocks/charts/PSX/phillips-66/,phillips-66,Oil Refining & Marketing,United States,<a href='https://www.macrotrends.net/stocks/charts/PSX/phillips-66/stock-price-history'>Phillips 66 (PSX)</a>,https://www.macrotrends.net/stocks/charts/PSX/phillips-66/
VLO,Valero Energy,https://www.macrotrends.net/stocks/charts/VLO/valero-energy/,valero-energy,Oil Refining & Marketing,United States,<a href='https://www.macrotrends.net/stocks/charts/VLO/valero-energy/stock-price-history'>Valero Energy (VLO)</a>,https://www.macrotrends.net/stocks/charts/VLO/valero-energy/
HFC,HollyFrontier,https://www.macrotrends.net/stocks/charts/HFC/hollyfrontier/,hollyfrontier,Oil Refining & Marketing,United States,<a href='https://www.macrotrends.net/stocks/charts/HFC/hollyfrontier/stock-price-history'>HollyFrontier (HFC)</a>,https://www.macrotrends.net/stocks/charts/HFC/hollyfrontier/
